repository_path,source_class,source_relative_path,source_sha256,transformation
.gitignore,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/.gitignore,0fff0b4cbc376492bbf8698950e939d9a45a354b6fa4cf457e62988696190a46,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
CONTRIBUTIONS.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/CONTRIBUTIONS.md,5b7c6f2166be1e30f16a9ab0a8d4a138dba686625a39cc1b74a614c3e8c2bb20,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
DATA_ACCESS_AND_PRIVACY.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
METHODOLOGY.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
NOTICE.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/NOTICE.md,59253d5c87e80ed3db37c51ff36f3be09460c2c1f86f128ffc11c2d2cf8b3714,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
PROJECT_STATUS.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/PROJECT_STATUS.md,b690ef66687e33de0d02ef5d5828756262b5ee39f40ac90e41b402f06791dd3a,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
README.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/README.md,cda2d46820b37feef10931b7e9958e309491f607075e5d5112d658d1155eafcb,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
VIDEO_WALKTHROUGH_SCRIPT.md,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/VIDEO_WALKTHROUGH_SCRIPT.md,bb0214eb6db77259a6df3de6b93220e2708c48f61e4ea6a36afc7c4a932838d7,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
configs/analysis_config.yaml,frozen_analysis_configuration,outputs/florida_ed_concordance_analysis_20260726/config/analysis_config.yaml,cf879e30c6887f808d8176b5e9df4139d187e78d206818da638f25393d915be9,private absolute paths replaced; analytical values unchanged
configs/full_production.template.yaml,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/configs/full_production.template.yaml,1ffff12cba72d585e36a4b3cd7e67a468076fa2cc6ce4a23204c2861301daa2f,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
configs/synthetic_demo.yaml,existing_sanitized_portfolio_worktree,Florida_ED_Public_Portfolio/configs/synthetic_demo.yaml,390d489b6f7e73a9899c9dfc3bed923bd14349888827a4bf686608f63991fb74,copied from the prior sanitized portfolio working tree during isolated staging; no restricted data or unpublished estimates copied
dashboard/00_READ_ME_FIRST.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/00_READ_ME_FIRST.md,fa6226193b106d9fe5122a3214ac12eea0bce001c6a056bae4d630484e27f04a,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_BLUEPRINT.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_BLUEPRINT.md,3c0c613a4d8cd0ae0f4ff2b71876671a5565206aded2459d3235fb941ea75ede,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_FILE_MANIFEST.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_FILE_MANIFEST.csv,aae11ea580c2a362fc32e4f8e8db6ba683e43bd4ff4d73c5f6f63b9b59f457ce,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_FILE_MANIFEST.sha256,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_FILE_MANIFEST.sha256,4d9255ce1c5f27422537db8101c9464f3d672390d2a3755f7af0e6ae3943397e,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_PREPARATION_VALIDATION.json,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_PREPARATION_VALIDATION.json,f4e1376ec4f537150a5651edab64db85de9c8a5c9a6610b454429a75f7550474,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_QA_CHECKLIST.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_QA_CHECKLIST.md,b7a45ad9f70c75d7b4c30e8d9ba9c86d5c263e80abc4f9936bf1c43cafea4e1e,copied from disclosure-controlled dashboard package
dashboard/DASHBOARD_SOURCE_PROVENANCE.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/DASHBOARD_SOURCE_PROVENANCE.csv,b43ea3391d89e5b4051d92e52aa1b7701a6071d7d9ba03a881bd9d3ed4a71664,copied from disclosure-controlled dashboard package
dashboard/INDEPENDENT_DASHBOARD_PACKAGE_AUDIT.json,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/INDEPENDENT_DASHBOARD_PACKAGE_AUDIT.json,11ad482407205576c5f7ea853f53d5a2749f5edd677719e2ba318e2e6f139ecf,copied from disclosure-controlled dashboard package
dashboard/INDEPENDENT_DASHBOARD_PACKAGE_AUDIT.sha256,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/INDEPENDENT_DASHBOARD_PACKAGE_AUDIT.sha256,31f1f6e046354420771fc564128ce6c2d7d493d970b222e600ce6cc7f3f6f384,copied from disclosure-controlled dashboard package
dashboard/METRIC_AND_MEASURE_DICTIONARY.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/METRIC_AND_MEASURE_DICTIONARY.csv,71888a159ef148ed675a48f3d9155dfff060bd59b5a922f43c9f7d2550d33f72,copied from disclosure-controlled dashboard package
dashboard/NEXT_STEPS_AFTER_DASHBOARD.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/NEXT_STEPS_AFTER_DASHBOARD.md,de4677c6b288c0f111f168cf2430c4b8c56056c4fb0c88877b401296e35b30db,copied from disclosure-controlled dashboard package
dashboard/POWER_BI_BUILD_CLICKBOOK.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_BI_BUILD_CLICKBOOK.md,6caf8473089c92b4a26d40e21018aad8f47c0aaffdbbff0c9e4b3a378c5f125e,copied from disclosure-controlled dashboard package
dashboard/POWER_BI_DATA_MODEL.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_BI_DATA_MODEL.md,768abd0204f6cda5cf902efe9e9c6de2cfd501706c28132fe43fa1ed3d77d7c9,copied from disclosure-controlled dashboard package
dashboard/POWER_BI_FINAL_QA_PROMPT.txt,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_BI_FINAL_QA_PROMPT.txt,63ccc0b0a2581fc38f14c66fda5ded316ef9f8a35d92d339f043e1d32d665894,copied from disclosure-controlled dashboard package
dashboard/POWER_BI_MEASURES.dax,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_BI_MEASURES.dax,db21103d60ae0a6c8f52ba58bb7e608d3cc42452b4e7c3de94248ae8c2229121,copied from disclosure-controlled dashboard package
dashboard/POWER_BI_VISUAL_SPECIFICATION.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_BI_VISUAL_SPECIFICATION.csv,5226441ebc35dac97dce4a73970dd79268490f9332b2d5595edb9e61d7d5b19c,copied from disclosure-controlled dashboard package
dashboard/POWER_QUERY_TRANSFORMATIONS.md,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/POWER_QUERY_TRANSFORMATIONS.md,e21e811e9c00f6932776bcdaf0f78bb7ee462efc5ea6ee693870d99a96c3c0df,copied from disclosure-controlled dashboard package
dashboard/PUBLIC_DASHBOARD_DISCLOSURE_AUDIT.json,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/PUBLIC_DASHBOARD_DISCLOSURE_AUDIT.json,a8a6a9b5582a0b0cad04c7d0b7754362a442e1eccaa6b5c509d32d441e0395f5,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimClinicalDomain.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimClinicalDomain.csv,29a18fca50b24d0e0d7b8d4f29d6fee415a28e55e9a857380ccaaf5f5ea44026,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimCodingMap.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimCodingMap.csv,20187c533838b9d6bffbdf69e5724047cc209bee68f588ab9ac249d41140d078,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimMetric.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimMetric.csv,eee7cc160597f6bab51a4f750cdf5cc4b3d6107f418fe6df218e205217516ed3,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimModelSpec.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimModelSpec.csv,c6a6d55f5619f4f01e1db66fd3fd2de4346fefdad3c945ce4a7bfcfd3bde72bd,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimPeriod.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimPeriod.csv,5200036ee5f5a782a0eb8b13ebb790b7b8bf3d3ecf2f706a75112d72676b8f91,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimProjectStage.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimProjectStage.csv,d93b826ede0b57d28bf8c4a83098b919b170f3a57c2a468126f95a9c0218f44c,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/DimSchemaFamily.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/DimSchemaFamily.csv,406f55432e32a026fb9fe1324acf8e2719031aec98e0812baa66a9eef7f8f8fd,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/FactAnalyticalStatus.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/FactAnalyticalStatus.csv,5e6164170af8f6fb5ea6d44c3cee09fceeaa1af37f21a139fd5bf188f974e46e,copied from disclosure-controlled dashboard package
dashboard/dashboard_data/FactEnhancementCoverage.csv,power_bi_handoff_package,outputs/powerbi_dashboard_preparation/20260810T202454Z/dashboard_data/FactEnhancementCoverage.csv,5ead6d9e62a7ec5c496a9f172cc80ebb090550ea98479abb3fa17fa5bf82b9d8,copied from disclosure-controlled dashboard package
