DashboardElement,ElementType,Definition,ControllingSourceArtifact,SourceSHA256,ExtractionMethod,ValidationStatus,SourceClass,PublicDisclosureDecision,DisclosureRationale
DimPeriod.PeriodKey,Field,Surrogate year-quarter key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated as year times 10 plus quarter,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.Year,Field,Calendar year,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated from validated scope,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.Quarter,Field,Quarter number 1-4,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.QuarterLabel,Field,Display label Q1-Q4,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.YearQuarter,Field,Human-readable period,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.PeriodGroup,Field,"Historical, primary, or excluded grouping",outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Rules from frozen scope,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.PeriodGroupOrder,Field,Sort order for PeriodGroup,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.AvailableFlag,Field,"1 for included quarter, 0 for excluded quarter",outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Generated,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimPeriod.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.SchemaFamilyKey,Field,Schema-family key,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Controlled key,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.SchemaFamilyLabel,Field,Covered period,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Validated family label,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.StartPeriod,Field,First covered quarter,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Derived,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.EndPeriod,Field,Last covered quarter,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Derived,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.QuarterCount,Field,Number of covered quarters,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Count of generated in-scope quarters,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.DiagnosisEra,Field,Diagnosis coding era,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Era rule,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.DisplayOrder,Field,Schema-family sort order,outputs/florida_ed_full_build_20260724/build_manifest_final.json,0ca547d9179d913c7b4af0668f06107383e86d75013a2ea1b5694736d55c218f,Chronological,PASS,validated project metadata,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimSchemaFamily.DisclosureClass,Field,Public-disclosure classification,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,72c05ef683abf9cc792a0a22baf7cdf7a2d9bf6f609bcfcc401f80e440bcea0b,Assigned by allowlist,PASS,sanitized disclosure policy,INCLUDE_CONTROL_FIELD,Project metadata or explicitly synthetic; no row-level research values
DimProjectStage.StageKey,Field,Project-stage key,outputs/florida_ed_concordance_analysis_20260726/qa/user_authorized_handoff_pause_20260809T211227Z.json,08ddcfff230d6d8c3b6853de03fbc222648f640cc1ca0170b545e701eca8a320,Controlled key,PASS,verified project-status checkpoint,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimProjectStage.StageName,Field,Project-stage label,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Controlled vocabulary,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimProjectStage.StageOrder,Field,Project-stage order,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Workflow order,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
DimProjectStage.StagePurpose,Field,Plain-language purpose,public_portfolio/METHODOLOGY.md,e9c698c46a293e240b3d39d5f835eff86a0892ec05eabb955ae7cfc5e881b4d9,Summarized,PASS,sanitized methodology,INCLUDE_PUBLIC_SAFE,Project metadata or explicitly synthetic; no row-level research values
