MeasureID,DisplayFolder,MeasureName,Definition,FormatString,DAXExpression,SourceTables,SourceArtifactKeys,ValidationRule,ApplicableFilters,Caveat,DisclosureClass
DAX001,Executive KPIs,Total Validated Encounters,Maximum allowlisted value for M001,"#,##0","CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M001"")",FactProjectCoverage;DimMetric,SRC_P1_QA,"Must equal 148,686,146",None,One released record per encounter; not a patient count,PUBLIC_SAFE_PROJECT_METADATA
DAX002,Executive KPIs,Completed Quarterly Partitions,Maximum allowlisted value for M002,0,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M002"")",FactProjectCoverage;DimMetric,SRC_P1_QA,Must equal 76,None,"Counts partitions, not files",PUBLIC_SAFE_PROJECT_METADATA
DAX003,Executive KPIs,Covered Years,Distinct included years,0,"CALCULATE(DISTINCTCOUNT('DimPeriod'[Year]), 'DimPeriod'[AvailableFlag] = 1)",DimPeriod,SRC_P1_MANIFEST,Must equal 19,Period filters,2009 and 2025 are excluded,PUBLIC_SAFE_PROJECT_METADATA
DAX004,Executive KPIs,Standardized Encounter Fields,Maximum allowlisted value for M004,0,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M004"")",FactProjectCoverage;DimMetric,SRC_P1_MANIFEST,Must equal 342,None,Canonical fact fields only,PUBLIC_SAFE_PROJECT_METADATA
DAX005,Executive KPIs,Schema Families,Maximum allowlisted value for M005,0,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M005"")",FactProjectCoverage;DimMetric,SRC_P1_MANIFEST,Must equal 5,None,Approved source layouts,PUBLIC_SAFE_PROJECT_METADATA
DAX006,Coverage,Expected In-Scope Quarters,Maximum allowlisted value for M014,0,"CALCULATE(MAX('FactProjectCoverage'[MetricValue]), 'FactProjectCoverage'[MetricKey] = ""M014"")",FactProjectCoverage;DimMetric,SRC_P1_MANIFEST,Must equal 76,None,Excludes 2009 and 2025,PUBLIC_SAFE_PROJECT_METADATA
DAX007,Coverage,Phase 1 Completion %,Completed quarterly partitions divided by expected in-scope quarters,0.0%,"DIVIDE([Completed Quarterly Partitions], [Expected In-Scope Quarters])",FactProjectCoverage,SRC_P1_QA,Must equal 100.0%,None,Engineering completion only,PUBLIC_SAFE_PROJECT_METADATA
DAX008,Coverage,Reconciled Available Quarters,Count available quarter rows with PASS reconciliation,0,"CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[AvailableFlag] = 1, 'FactPartitionStatus'[ReconciliationStatus] = ""PASS"")",FactPartitionStatus,SRC_P1_QA,Must equal 76,Period filters,"Metadata status, no encounter volumes",PUBLIC_SAFE_PROJECT_METADATA
DAX009,Coverage,Partition Reconciliation %,Reconciled available quarters divided by available quarters,0.0%,"DIVIDE([Reconciled Available Quarters], CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[AvailableFlag] = 1))",FactPartitionStatus,SRC_P1_QA,Must equal 100.0%,Period filters,Metadata status only,PUBLIC_SAFE_PROJECT_METADATA
DAX010,Coverage,Excluded Quarter Count,Count of excluded quarter rows,0,"CALCULATE(COUNTROWS('FactPartitionStatus'), 'FactPartitionStatus'[PartitionStatus] = ""EXCLUDED"")",FactPartitionStatus,SRC_P1_MANIFEST,Must equal 8,Period filters,Four quarters each for 2009 and 2025,PUBLIC_SAFE_PROJECT_METADATA
