PartitionKey,PeriodKey,SchemaFamilyKey,PartitionStatus,ReconciliationStatus,AvailableFlag,ExclusionReason,DiagnosisCodeEra,LengthOfStayAvailability,SourceClass,DisclosureClass
PT20051,20051,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20052,20052,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20053,20053,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20054,20054,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20061,20061,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20062,20062,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20063,20063,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20064,20064,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20071,20071,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20072,20072,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20073,20073,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20074,20074,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20081,20081,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20082,20082,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20083,20083,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20084,20084,SF1,COMPLETE,PASS,1,,ICD-9-CM,Day-level LOS only,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20091,20091,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20092,20092,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20093,20093,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20094,20094,,EXCLUDED,NOT_APPLICABLE,0,Year excluded by project instruction,Not processed,Not processed,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20101,20101,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20102,20102,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20103,20103,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20104,20104,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20111,20111,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20112,20112,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20113,20113,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20114,20114,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20121,20121,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20122,20122,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20123,20123,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20124,20124,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20131,20131,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20132,20132,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20133,20133,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20134,20134,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20141,20141,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20142,20142,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20143,20143,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20144,20144,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20151,20151,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20152,20152,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20153,20153,SF2,COMPLETE,PASS,1,,ICD-9-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
PT20154,20154,SF3,COMPLETE,PASS,1,,ICD-10-CM,Clock-derived hourly LOS eligible in Phase 2,Project metadata; no encounter rows,PUBLIC_SAFE_PROJECT_METADATA
