ProjectMetricKey,MetricKey,MetricValue,MetricStatus,AsOfDate,SourceArtifactKey,DisclosureClass
PC_M001,M001,148686146,VALIDATED,2026-07-26,SRC_P1_QA,PUBLIC_SAFE_PROJECT_METADATA
PC_M002,M002,76,VALIDATED,2026-07-26,SRC_P1_QA,PUBLIC_SAFE_PROJECT_METADATA
PC_M003,M003,19,VALIDATED,2026-07-26,SRC_P1_MANIFEST,PUBLIC_SAFE_PROJECT_METADATA
PC_M004,M004,342,VALIDATED,2026-07-26,SRC_P1_MANIFEST,PUBLIC_SAFE_PROJECT_METADATA
PC_M005,M005,5,VALIDATED,2026-07-26,SRC_P1_MANIFEST,PUBLIC_SAFE_PROJECT_METADATA
PC_M006,M006,240,VALIDATED,2026-07-26,SRC_P1_QA,PUBLIC_SAFE_PROJECT_METADATA
PC_M007,M007,1805795,VALIDATED,2026-07-26,SRC_P1_QA,PUBLIC_SAFE_PROJECT_METADATA
PC_M008,M008,119543044,VALIDATED,2026-07-26,SRC_COHORT_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PC_M009,M009,60,VALIDATED,2026-07-26,SRC_COHORT_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PC_M010,M010,23304846,VALIDATED,2026-08-06,SRC_HISTORICAL_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PC_M011,M011,16,VALIDATED,2026-08-06,SRC_HISTORICAL_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PC_M012,M012,743767,VALIDATED,2026-08-06,SRC_METHOD,PUBLIC_SAFE_PROJECT_METADATA
PC_M013,M013,800,VALIDATED,2026-08-06,SRC_SYNTHETIC_QA,PUBLIC_SAFE_PROJECT_METADATA
PC_M014,M014,76,VALIDATED,2026-07-26,SRC_P1_MANIFEST,PUBLIC_SAFE_PROJECT_METADATA
