ProviderMetricKey,MetricKey,MetricValue,MetricStatus,MeasurementScope,SourceArtifactKey,DisclosureClass
PV_PM001,PM001,1813546,VALIDATED,Full provider master v2,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM002,PM002,83541,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM003,PM003,75790,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM004,PM004,7751,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM005,PM005,78843,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM006,PM006,2152,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM007,PM007,65912,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM008,PM008,5972,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM009,PM009,4028,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM010,PM010,0,VALIDATED,ED-observed provider universe,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
PV_PM011,PM011,0,VALIDATED,Full provider master v2,SRC_PROVIDER_PUBLIC,PUBLIC_SAFE_PROJECT_METADATA
