Table,Column,DataType,Grain,Definition,Numerator,Denominator,SourceArtifact,Transformation,PublicDisclosureClassification,Caveat,IntendedVisualOrMeasure
DimPeriod,PeriodKey,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,Surrogate year-quarter key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated as year times 10 plus quarter,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Use on Coverage page
DimPeriod,Year,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,Calendar year,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated from validated scope,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis and slicer
DimPeriod,Quarter,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,Quarter number 1-4,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort QuarterLabel
DimPeriod,QuarterLabel,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Display label Q1-Q4,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Matrix columns
DimPeriod,YearQuarter,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Human-readable period,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Tooltip
DimPeriod,PeriodGroup,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,"Historical, primary, or excluded grouping",,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Rules from frozen scope,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Legend and slicer
DimPeriod,PeriodGroupOrder,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,Sort order for PeriodGroup,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Sort field
DimPeriod,AvailableFlag,Whole number,One row per calendar quarter from 2005 Q1 through 2025 Q4,"1 for included quarter, 0 for excluded quarter",Included quarter,All calendar quarters,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Generated,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Coverage measure
DimPeriod,DisclosureClass,Text,One row per calendar quarter from 2005 Q1 through 2025 Q4,Public-disclosure classification,,,public_portfolio/DATA_ACCESS_AND_PRIVACY.md,Assigned by allowlist,Control field,See source and page notes,Hidden metadata
DimSchemaFamily,SchemaFamilyKey,Text,One row per approved historical source-schema family,Schema-family key,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Controlled key,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Relationship key
DimSchemaFamily,SchemaFamilyLabel,Text,One row per approved historical source-schema family,Covered period,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Validated family label,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Axis and table
DimSchemaFamily,StartPeriod,Text,One row per approved historical source-schema family,First covered quarter,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Derived,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimSchemaFamily,EndPeriod,Text,One row per approved historical source-schema family,Last covered quarter,,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Derived,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
DimSchemaFamily,QuarterCount,Whole number,One row per approved historical source-schema family,Number of covered quarters,Covered quarters,,outputs/florida_ed_full_build_20260724/build_manifest_final.json,Count of generated in-scope quarters,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Bar value
DimSchemaFamily,DiagnosisEra,Text,One row per approved historical source-schema family,Diagnosis coding era,,,public_portfolio/METHODOLOGY.md,Era rule,PUBLIC_SAFE_PROJECT_METADATA,See source and page notes,Table
