column_name,column_type,null,key,default,extra,variable_role,historical_track,hourly_los_policy
visit_key,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
source_encounter_key,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
visit_year,SMALLINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
visit_quarter,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
facility_ahca_id,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
facility_year_quarter_id,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
source_schema_id,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
diagnosis_code_system,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
historical_race_ethnicity_code,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
race_ethnicity_historical_label,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
historical_patient_group,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
historical_patient_bw_defined_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
patient_black_flag,UTINYINT,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
patient_sex_category,VARCHAR,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
age_years,DOUBLE,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
age_band,VARCHAR,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
age_missing_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
weekday_label,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
weekend_flag,BOOLEAN,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
arrival_hour,INTEGER,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
arrival_time_band,VARCHAR,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
off_hours_flag,BOOLEAN,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
length_of_stay_days,DOUBLE,YES,,,,outcome,2005-2008 separate provider-v2,
ed_discharge_hour,INTEGER,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,structurally unavailable; must remain null
los_hours_clock_raw,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,structurally unavailable; must remain null
los_hours_primary_0_168,DOUBLE,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,structurally unavailable; must remain null
hourly_los_available_flag,BOOLEAN,YES,,,,eligibility/measurement flag,2005-2008 separate provider-v2,
los_measurement_status,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
patient_zip_rurality_3level,VARCHAR,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
payer_group,VARCHAR,YES,,,,patient/visit covariate,2005-2008 separate provider-v2,
disposition_group,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
routine_discharge_flag,BOOLEAN,YES,,,,outcome,2005-2008 separate provider-v2,
transfer_flag,BOOLEAN,YES,,,,outcome,2005-2008 separate provider-v2,
hospice_flag,BOOLEAN,YES,,,,outcome,2005-2008 separate provider-v2,
mortality_flag,BOOLEAN,YES,,,,outcome,2005-2008 separate provider-v2,
left_discontinued_care_flag,BOOLEAN,YES,,,,outcome,2005-2008 separate provider-v2,
same_facility_inpatient_admission_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
same_facility_admission_status,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
revisit_7d_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
revisit_30d_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
revisit_measure_status,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
clinical_triage_level,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
clinical_triage_status,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
principal_diagnosis_code_norm,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
principal_diagnosis_description,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
principal_clinical_category,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
principal_clinical_category_label,VARCHAR,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
principal_diagnosis_mapped_flag,BOOLEAN,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
diagnosis_code_count,USMALLINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
secondary_diagnosis_code_count,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
external_cause_code_count,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
elixhauser_condition_count,UTINYINT,YES,,,,"identifier, source, or supporting analytic field",2005-2008 separate provider-v2,
elix_aids_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_alcohol_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_anemdef_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_arth_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_autoimmune_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_bldloss_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cancer_leuk_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cancer_lymph_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cancer_mets_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cancer_nsitu_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cancer_solid_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cbvd_poa_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_cbvd_sqla_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_chf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_chrnlung_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_coag_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_dementia_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_depress_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_diab_cx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_diab_uncx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_dm_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_dmcx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_drug_abuse_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_drug_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hhrwchf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hhrwhrf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hhrwohrf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hhrwrf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hrenworf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hrenwrf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htn_cx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htn_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htn_uncx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htncx_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htnpreg_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htnwchf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_htnwochf_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_hypothy_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
elix_liver_flag,UTINYINT,YES,,,,risk-adjustment covariate,2005-2008 separate provider-v2,
